id,Top,Song_Name,Artist_Name,Date
0,1,The Box,Roddy Ricch,2020-02-15
1,2,Life Is Good,Future Featuring Drake,2020-02-15
2,3,Circles,Post Malone,2020-02-15
3,4,Memories,Maroon 5,2020-02-15
4,5,Dance Monkey,Tones And I,2020-02-15
5,6,Someone You Loved,Lewis Capaldi,2020-02-15
6,7,Roxanne,Arizona Zervas,2020-02-15
7,8,"10,000 Hours",Dan + Shay & Justin Bieber,2020-02-15
8,9,Don't Start Now,Dua Lipa,2020-02-15
9,10,Everything I Wanted,Billie Eilish,2020-02-15
10,11,Lose You To Love Me,Selena Gomez,2020-02-15
11,12,Ballin',Mustard & Roddy Ricch,2020-02-15
12,13,BOP,DaBaby,2020-02-15
13,14,Yummy,Justin Bieber,2020-02-15
14,15,Blinding Lights,The Weeknd,2020-02-15
15,16,Good As Hell,Lizzo,2020-02-15
16,17,Heartless,The Weeknd,2020-02-15
17,18,The Bones,Maren Morris,2020-02-15
18,19,Hot Girl Bummer,blackbear,2020-02-15
19,20,Godzilla,Eminem Featuring Juice WRLD,2020-02-15
20,21,High Fashion,Roddy Ricch Featuring Mustard,2020-02-15
21,22,No Guidance,Chris Brown Featuring Drake,2020-02-15
22,23,Adore You,Harry Styles,2020-02-15
23,24,Woah,Lil Baby,2020-02-15
24,25,Bad Guy,Billie Eilish,2020-02-15
25,26,HIGHEST IN THE ROOM,Travis Scott,2020-02-15
26,27,Falling,Trevor Daniel,2020-02-15
27,28,Senorita,Shawn Mendes & Camila Cabello,2020-02-15
28,29,What A Man Gotta Do,Jonas Brothers,2020-02-15
29,30,You Should Be Sad,Halsey,2020-02-15
30,31,My Oh My,Camila Cabello Featuring DaBaby,2020-02-15
31,32,Trampoline,SHAED,2020-02-15
32,33,I Do It,Lil Wayne Featuring Big Sean & Lil Baby,2020-02-15
33,34,Kinfolks,Sam Hunt,2020-02-15
34,35,Truth Hurts,Lizzo,2020-02-15
35,36,One Man Band,Old Dominion,2020-02-15
36,37,Only Human,Jonas Brothers,2020-02-15
37,38,Sucker,Jonas Brothers,2020-02-15
38,39,Suicidal,YNW Melly & Juice WRLD,2020-02-15
39,40,I Don't Care,Ed Sheeran & Justin Bieber,2020-02-15
40,41,Juicy,Doja Cat & Tyga,2020-02-15
41,42,Tusa,Karol G & Nicki Minaj,2020-02-15
42,43,Even Though I'm Leaving,Luke Combs,2020-02-15
43,44,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,2020-02-15
44,45,Bandit,Juice WRLD & YoungBoy Never Broke Again,2020-02-15
45,46,Sum 2 Prove,Lil Baby,2020-02-15
46,47,Hot,Young Thug Featuring Gunna,2020-02-15
47,48,Heartache Medication,Jon Pardi,2020-02-15
48,49,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,2020-02-15
49,50,Only The Young,Taylor Swift,2020-02-15
50,51,Homesick,Kane Brown,2020-02-15
51,52,BEST ON EARTH,Russ & BIA,2020-02-15
52,53,I Hope,Gabby Barrett,2020-02-15
53,54,Slide,H.E.R. Featuring YG,2020-02-15
54,55,Heart On Ice,Rod Wave,2020-02-15
55,56,Anyone,Demi Lovato,2020-02-15
56,57,Out West,JACKBOYS Featuring Young Thug,2020-02-15
57,58,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,2020-02-15
58,59,B.I.T.C.H.,Megan Thee Stallion,2020-02-15
59,60,Physical,Dua Lipa,2020-02-15
60,61,Mahogany,Lil Wayne,2020-02-15
61,62,Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-02-15
62,63,VIBEZ,DaBaby,2020-02-15
63,64,What She Wants Tonight,Luke Bryan,2020-02-15
64,65,Make Me Want To,Jimmie Allen,2020-02-15
65,66,P*$$y Fairy (OTW),Jhene Aiko,2020-02-15
66,67,Say So,Doja Cat Featuring Nicki Minaj,2020-02-15
67,68,I Wish Grandpas Never Died,Riley Green,2020-02-15
68,69,King Of My City,A Boogie Wit da Hoodie,2020-02-15
69,70,Futsal Shuffle 2020,Lil Uzi Vert,2020-02-15
70,71,More Hearts Than Mine,Ingrid Andress,2020-02-15
71,72,We Back,Jason Aldean,2020-02-15
72,73,Letter To Nipsey,Meek Mill Featuring Roddy Ricch,2020-02-15
73,74,SUGAR,BrockHampton,2020-02-15
74,75,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-02-15
75,76,I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-02-15
76,77,Ridin' Roads,Dustin Lynch,2020-02-15
77,78,No Idea,Don Toliver,2020-02-15
78,79,Before You Go,Lewis Capaldi,2020-02-15
79,80,Make No Sense,YoungBoy Never Broke Again,2020-02-15
80,81,Homemade,Jake Owen,2020-02-15
81,82,Good News,Mac Miller,2020-02-15
82,83,Start Wit Me,Roddy Ricch & Gunna,2020-02-15
83,84,Vete,Bad Bunny,2020-02-15
84,85,Chasin' You,Morgan Wallen,2020-02-15
85,86,homecoming queen?,Kelsea Ballerini,2020-02-15
86,87,Mama Mia,Lil Wayne,2020-02-15
87,88,Funeral,Lil Wayne,2020-02-15
88,89,Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,2020-02-15
89,90,Slow Dance In A Parking Lot,Jordan Davis,2020-02-15
90,91,Come Thru,Summer Walker & Usher,2020-02-15
91,92,Jerry Sprunger,Tory Lanez & T-Pain,2020-02-15
92,93,Get Me,Justin Bieber Featuring Kehlani,2020-02-15
93,94,Catch,Brett Young,2020-02-15
94,95,Dive Bar,Garth Brooks & Blake Shelton,2020-02-15
95,96,Easy,DaniLeigh Featuring Chris Brown,2020-02-15
96,97,Rare,Selena Gomez,2020-02-15
97,98,U Played,MoneyBagg Yo Featuring Lil Baby,2020-02-15
98,99,Camelot,NLE Choppa,2020-02-15
99,100,ORANGE SODA,Baby Keem,2020-02-15
