,Primary_Artist
Drake,1143
Taylor Swift,944
Rihanna,888
Kenny Chesney,651
Keith Urban,641
Tim McGraw,618
Maroon 5,610
Madonna,607
Rascal Flatts,594
Stevie Wonder,586
Elton John,571
Mariah Carey,560
Eminem,531
Katy Perry,529
Usher,505
Luke Bryan,494
Jason Aldean,494
Chris Brown,492
Kanye West,487
P!nk,464
Lil Wayne,461
Lady Gaga,455
Kelly Clarkson,448
Beyonce,446
Dierks Bentley,440
Michael Jackson,438
Blake Shelton,437
Justin Bieber,434
Carrie Underwood,433
Nicki Minaj,428
George Strait,427
Nickelback,422
Imagine Dragons,407
Marvin Gaye,396
Whitney Houston,391
Heart,388
Mary J. Blige,381
Bon Jovi,381
Bee Gees,378
The Temptations,377
Brad Paisley,373
Aerosmith,373
Janet Jackson,372
Toby Keith,367
The Black Eyed Peas,366
Britney Spears,362
Diana Ross,358
Bruno Mars,353
Post Malone,341
Bryan Adams,334
Selena Gomez,332
Rod Stewart,328
Neil Diamond,323
Lionel Richie,322
Cher,322
Eric Church,316
Ludacris,316
Billy Joel,316
U2,315
Florida Georgia Line,307
Kenny Rogers,305
Queen,302
Alicia Keys,301
Bob Seger,295
Nelly,295
Thomas Rhett,294
R. Kelly,294
Ed Sheeran,293
Carpenters,293
Commodores,285
Billy Currington,282
Lady Antebellum,281
Ariana Grande,278
The Weeknd,278
Styx,277
OneRepublic,276
The Beach Boys,275
Brenda Lee,274
Linkin Park,270
Smokey Robinson,269
Alan Jackson,269
3 Doors Down,268
Shawn Mendes,268
Zac Brown Band,267
Donna Summer,262
Three Dog Night,259
Boyz II Men,259
TLC,259
The Chainsmokers,258
Electric Light Orchestra,256
Jason Derulo,254
Khalid,253
Jennifer Lopez,253
Olivia Newton-John,253
Ne-Yo,250
50 Cent,249
Def Leppard,249
Richard Marx,244
The Rolling Stones,243
Linda Ronstadt,243
T.I.,242
Faith Hill,241
JAY-Z,241
The Pointer Sisters,240
Aretha Franklin,239
One Direction,238
Pitbull,237
Journey,237
Bruce Springsteen,236
Adele,236
Flo Rida,236
LL Cool J,235
Fleetwood Mac,235
Miley Cyrus,234
Daryl Hall John Oates,233
Montgomery Gentry,232
Kool,232
Avril Lavigne,230
The Supremes,229
Jake Owen,229
ABBA,229
John Mellencamp,228
Akon,228
Herb Alpert,225
Jonas Brothers,225
Train,225
J. Cole,225
Barbra Streisand,224
Pat Benatar,223
Sugarland,222
Santana,221
Four Tops,219
matchbox twenty,218
Elvis Presley,216
Lifehouse,215
Sheryl Crow,214
Steve Winwood,213
INXS,212
Darius Rucker,212
Brandy,211
Lonestar,211
DJ Khaled,210
Chris Young,209
Shania Twain,209
Backstreet Boys,208
LeAnn Rimes,208
Enrique Iglesias,206
Miranda Lambert,206
Demi Lovato,206
The Beatles,205
R.E.M.,205
Daughtry,205
Destiny's Child,205
Sam Cooke,204
The Cars,204
Future,203
"Earth, Wind",202
Chubby Checker,202
Big Sean,200
Fall Out Boy,200
Gwen Stefani,200
Huey Lewis,200
Gloria Estefan,199
Don Henley,199
Sting,199
KISS,198
OutKast,197
Van Halen,197
Lil Uzi Vert,197
Dixie Chicks,196
Dionne Warwick,196
Anne Murray,196
Jodeci,195
Trey Songz,195
Frank Sinatra,195
Meghan Trainor,193
John Denver,192
Dan + Shay,191
Creed,191
Eddie Money,190
Barry Manilow,189
Prince,189
Salt-N-Pepa,188
Lenny Kravitz,188
Sam Hunt,188
Ja Rule,187
Red Hot Chili Peppers,186
Bobby Brown,186
Survivor,186
The Pussycat Dolls,183
Lee Brice,182
Snoop Dogg,181
Christina Aguilera,180
Colbie Caillat,180
Eric Clapton,179
Chicago,178
Lil Baby,178
Goo Goo Dolls,177
Foreigner,177
New Edition,174
The Doobie Brothers,173
Michael Bolton,173
Jason Mraz,173
Metallica,172
En Vogue,171
Sam Smith,170
Gary Allan,169
Babyface,169
Halsey,168
112,168
Coldplay,167
Ke$ha,167
The Police,167
Bobby Vinton,167
Ellie Goulding,166
The Moody Blues,166
The Alan Parsons Project,165
Rae Sremmurd,165
Steely Dan,165
Ginuwine,164
The Impressions,164
Toni Braxton,163
Carly Simon,163
Little Big Town,163
Cheap Trick,163
Josh Turner,163
The Who,162
The Band Perry,162
Savage Garden,161
Elvis Presley With The Jordanaires,161
Luke Combs,160
Justin Timberlake,159
New Kids On The Block,158
Poison,158
REO Speedwagon,158
Dru Hill,158
Barry White,157
Sia,155
Sheena Easton,154
No Doubt,154
Marshmello,154
Guns N' Roses,154
Tom Petty And The Heartbreakers,154
Rick Ross,153
Genesis,153
Calvin Harris,152
Aaliyah,150
Fergie,150
Paula Abdul,150
Natalie Cole,150
The All-American Rejects,150
Collective Soul,150
Brantley Gilbert,148
Justin Moore,148
Janet,147
Connie Francis,147
Glen Campbell,147
Helen Reddy,147
Juice WRLD,147
Alice Cooper,147
Brooks,147
Dion,147
Sean Paul,146
John Mayer,146
Roy Orbison,146
David Guetta,146
Tom Jones,146
LMFAO,146
Roxette,145
Andy Williams,144
Keith Sweat,144
Ronnie Milsap,143
Wiz Khalifa,142
Jr. Walker,141
The Stylistics,141
Foo Fighters,141
Jo Dee Messina,141
Young Jeezy,140
Andy Gibb,140
The Fray,139
Toto,138
Eve,138
Spice Girls,138
Blondie,138
Supertramp,137
twenty one pilots,137
Juice Newton,137
Celine Dion,136
Duran Duran,136
Ashanti,136
Billy Idol,135
'N Sync,135
Staind,134
Herman's Hermits,134
Howard Jones,133
America,133
The Isley Brothers,133
Ice Cube,132
ZZ Top,132
Paul Davis,132
Trace Adkins,132
2Pac,132
Robert Palmer,130
UB40,130
The Killers,130
Melissa Etheridge,130
Nelly Furtado,129
2 Chainz,129
James Taylor,128
Shakira,128
Dr. Dre,127
Avant,127
Tony Toni Tone,127
Billy Ocean,127
Wings,126
Cyndi Lauper,126
Juvenile,125
Panic! At The Disco,125
Fabolous,125
Joe,125
Lesley Gore,125
Rodney Atkins,124
The Righteous Brothers,124
Migos,124
Prince And The Revolution,124
Jeremih,124
B.B. King,124
Gladys Knight And The Pips,124
The Game,124
Sean Kingston,123
Glee Cast,123
Jay-Z,122
Kenny Loggins,122
Lorde,122
Dua Lipa,122
Brett Young,122
Taylor Dayne,122
Martina McBride,122
War,121
Jefferson Starship,121
The Everly Brothers,121
Uncle Kracker,121
Ray Parker Jr.,120
Charlie Puth,119
Sarah McLachlan,119
Tyga,119
Jagged Edge,119
Johnny Tillotson,119
Zedd,119
YoungBoy Never Broke Again,118
Iggy Azalea,118
Joe Nichols,117
Rick Springfield,117
Bob Dylan,117
Next,117
Rob Thomas,116
Kendrick Lamar,116
Fetty Wap,116
Night Ranger,116
Paul Simon,116
Thompson Twins,116
Craig Morgan,115
Dolly Parton,115
Jessica Simpson,115
Dr. Hook,115
Weezer,115
Paul Young,114
The 5th Dimension,114
Tears For Fears,114
Vanessa Williams,114
Eli Young Band,114
XXXTENTACION,114
Mario,114
Seether,114
DaBaby,114
Bobby Vee,114
Scotty McCreery,114
KC And The Sunshine Band,114
Puddle Of Mudd,114
Glenn Frey,113
Jerry Butler,113
The Kinks,113
The Doors,113
Monica,113
Timbaland,113
George Benson,112
Kelsea Ballerini,112
98 Degrees,112
Warrant,111
Jon Pardi,111
Paramore,111
Brian McKnight,111
Daddy Yankee,110
Belinda Carlisle,110
Ray Charles,109
The Shirelles,109
Ohio Players,109
Jon Secada,109
Will Smith,109
SWV,109
Mint Condition,108
Xscape,108
Ace Of Base,108
Boz Scaggs,108
Cinderella,108
DMX,107
Otis Redding,107
Gene Pitney,107
5 Seconds Of Summer,107
Miguel,107
Sammy Hagar,106
Sade,106
The Hollies,106
John Cougar,106
Amy Grant,106
Papa Roach,106
Laura Branigan,105
John Legend,105
Sugar Ray,105
Alessia Cara,105
Jeffrey Osborne,104
Three Days Grace,104
Blessid Union Of Souls,104
Karyn White,104
Eddie Rabbitt,104
The J. Geils Band,104
Mary Wells,104
Jody Watley,103
