,Song_Name,Artist_Name,temp_song_ID,Primary_Artist,Artists_List,id
0,Senorita,Shawn Mendes & Camila Cabello,0,Shawn Mendes,"['Shawn Mendes', 'Camila Cabello']",1gKFRJUUZmfW098SM4Qk2L
1,Bad Guy,Billie Eilish,1,Billie Eilish,['Billie Eilish'],3IaAYtmN8T0YIYVqnxNnVz
3,Truth Hurts,Lizzo,2,Lizzo,['Lizzo'],3HWzoMvoF3TQfYg4UPszDq
4,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,3,Lil Nas X,"['Lil Nas X', 'Billy Ray Cyrus']",0F7FA14euOIX8KcbEturGH
9,Talk,Khalid,5,Khalid,['Khalid'],0rTV5WefWd1J3OwIheTzxM
13,I Don't Care,Ed Sheeran & Justin Bieber,7,Ed Sheeran,"['Ed Sheeran', 'Justin Bieber']",1lCbAdJlr3wuTcdeWNL9FB
18,If I Can't Have You,Shawn Mendes,9,Shawn Mendes,['Shawn Mendes'],0QjPiq9Wka9I1b4uzWETYI
19,Someone You Loved,Lewis Capaldi,10,Lewis Capaldi,['Lewis Capaldi'],7qEHsqek33rTcFNT9PFqLf
21,Sucker,Jonas Brothers,11,Jonas Brothers,['Jonas Brothers'],22vgEDb5hykfaTwLuskFGD
23,You Need To Calm Down,Taylor Swift,13,Taylor Swift,['Taylor Swift'],6RRNNciQGZEXnqk8SQ9yv5
25,The Git Up,Blanco Brown,15,Blanco Brown,['Blanco Brown'],2KKijf6Ett4kmVNJze2roh
26,Suge,DaBaby,16,DaBaby,['DaBaby'],2gwkD6igEhQbDQegRCcdoB
29,Beautiful People,Ed Sheeran Featuring Khalid,17,Ed Sheeran,"['Ed Sheeran', 'Khalid']",4rMCvdNWp9IvvDJYyUfxyl
31,Lover,Taylor Swift,18,Taylor Swift,['Taylor Swift'],1dGr1c8CrMLDpV6mPbImSI
38,Boyfriend,Ariana Grande & Social House,19,Ariana Grande,"['Ariana Grande', 'Social House']",3ASlnePYdvR9RPlQyTJipP
56,Baby,Lil Baby & DaBaby,23,Lil Baby,"['Lil Baby', 'DaBaby']",0ZGvSljHamuFzI0hDigvA5
57,Beer Never Broke My Heart,Luke Combs,24,Luke Combs,['Luke Combs'],7aEtlGHoiPAfRB084NiDmx
58,Hot,Young Thug Featuring Gunna,25,Young Thug,"['Young Thug', 'Gunna']",6z7fZRrQfOH3ZjWEkC4QhC
60,"Hey Look Ma, I Made It",Panic! At The Disco,27,Panic! At The Disco,['Panic! At The Disco'],22oEJW6r2rMb9z4IntfyEa
65,Without Me,Halsey,29,Halsey,['Halsey'],5p7ujcrUXASCNwRaWNHR1C
70,Speechless,Dan + Shay,30,Dan + Shay,['Dan + Shay'],3V5I90jseccXcK4MGC1gqr
76,Motivation,Normani,32,Normani,['Normani'],43aeFOIdKz42lWwmsTRqVd
78,Knockin' Boots,Luke Bryan,33,Luke Bryan,['Luke Bryan'],4bvqOj9QiH6qKecLiefKst
